# Directed graph: ../data/song_graphs/rock_graphs/151.txt 
# Save as tab-separated list of edges
# Nodes: 139 Edges: 84
# FromNodeId	ToNodeId
76	99
99	127
127	24
24	76
76	99
99	127
127	24
24	76
76	99
99	127
127	24
24	76
76	99
99	127
127	24
24	67
67	11
11	0
0	24
24	67
67	11
11	0
0	24
24	76
76	99
99	127
127	24
24	76
76	99
99	127
127	24
24	67
67	11
11	0
0	24
24	67
67	11
11	0
0	24
24	0
0	76
76	24
24	0
0	76
76	24
24	0
0	76
76	24
24	0
0	11
11	0
0	11
11	0
0	11
11	67
67	11
11	0
0	24
24	67
67	11
11	0
0	24
24	0
0	76
76	24
24	0
0	76
76	24
24	0
0	76
76	24
24	0
0	11
11	0
0	76
76	24
24	0
0	11
11	0
0	11
11	0
0	11
11	0
0	76
