# Directed graph: ../data/song_graphs/rock_graphs/35.txt 
# Save as tab-separated list of edges
# Nodes: 139 Edges: 91
# FromNodeId	ToNodeId
44	101
101	70
70	44
44	101
101	70
70	13
13	44
44	13
13	44
44	101
101	70
70	44
44	13
13	44
44	13
13	44
44	101
101	70
70	44
44	101
101	70
70	13
13	44
44	13
13	44
44	101
101	70
70	44
44	13
13	44
44	13
13	114
114	101
101	70
70	13
13	101
101	70
70	114
114	44
44	101
101	114
114	44
44	101
101	70
70	44
44	101
101	70
70	13
13	44
44	13
13	44
44	101
101	70
70	95
95	44
44	95
95	44
44	95
95	13
13	70
70	114
114	116
116	101
101	70
70	13
13	101
101	70
70	108
108	44
44	101
101	70
70	44
44	101
101	70
70	13
13	70
70	101
101	114
114	44
44	101
101	70
70	44
44	101
101	70
70	13
13	44
44	13
13	44
44	101
101	70
70	44
