# Directed graph: ../data/song_graphs/rock_graphs/90.txt 
# Save as tab-separated list of edges
# Nodes: 139 Edges: 192
# FromNodeId	ToNodeId
73	0
0	127
127	76
76	73
73	0
0	127
127	76
76	73
73	0
0	127
127	76
76	73
73	0
0	127
127	76
76	73
73	0
0	127
127	76
76	73
73	0
0	127
127	76
76	73
73	0
0	127
127	76
76	73
73	0
0	127
127	76
76	73
73	0
0	127
127	76
76	73
73	0
0	127
127	76
76	73
73	0
0	127
127	76
76	73
73	0
0	127
127	76
76	73
73	0
0	127
127	76
76	73
73	0
0	127
127	76
76	73
73	0
0	127
127	76
76	73
73	0
0	127
127	76
76	73
73	0
0	127
127	76
76	73
73	0
0	127
127	76
76	73
73	0
0	127
127	76
76	55
55	0
0	55
55	0
0	127
127	55
55	127
127	76
76	55
55	127
127	76
76	55
55	127
127	76
76	127
127	55
55	127
127	73
73	0
0	127
127	76
76	73
73	0
0	127
127	76
76	73
73	0
0	127
127	76
76	73
73	0
0	127
127	76
76	73
73	0
0	127
127	76
76	73
73	0
0	127
127	76
76	55
55	0
0	55
55	0
0	127
127	55
55	127
127	76
76	55
55	127
127	76
76	55
55	127
127	76
76	127
127	55
55	127
127	73
73	0
0	127
127	76
76	73
73	0
0	127
127	76
76	73
73	0
0	127
127	76
76	73
73	0
0	127
127	76
76	73
73	0
0	127
127	76
76	73
73	0
0	127
127	76
76	55
55	0
0	55
55	0
0	127
127	55
55	127
127	76
76	55
55	127
127	76
76	55
55	127
127	76
76	127
127	55
55	127
127	73
73	0
0	127
127	76
76	73
73	0
0	127
127	76
76	73
73	0
0	127
127	76
76	73
73	0
0	127
127	76
76	73
73	0
