# Directed graph: ../data/song_graphs/rock_graphs/119.txt 
# Save as tab-separated list of edges
# Nodes: 139 Edges: 155
# FromNodeId	ToNodeId
0	55
55	114
114	44
44	76
76	138
138	114
114	101
101	44
44	138
138	114
114	101
101	44
44	70
70	114
114	44
44	101
101	13
13	114
114	44
44	101
101	13
13	114
114	44
44	101
101	13
13	114
114	44
44	101
101	13
13	114
114	44
44	101
101	5
5	17
17	75
75	55
55	74
74	55
55	44
44	114
114	13
13	114
114	44
44	114
114	13
13	114
114	138
138	114
114	101
101	44
44	138
138	114
114	101
101	44
44	70
70	114
114	44
44	101
101	13
13	114
114	44
44	101
101	13
13	114
114	44
44	101
101	13
13	114
114	44
44	101
101	13
13	114
114	44
44	101
101	5
5	17
17	75
75	55
55	95
95	44
44	114
114	75
75	55
55	138
138	114
114	101
101	44
44	138
138	114
114	101
101	44
44	138
138	105
105	44
44	105
105	114
114	105
105	44
44	105
105	114
114	105
105	44
44	105
105	114
114	105
105	44
44	105
105	114
114	105
105	44
44	70
70	114
114	44
44	101
101	13
13	114
114	44
44	101
101	13
13	114
114	44
44	101
101	13
13	114
114	44
44	101
101	13
13	114
114	44
44	101
101	13
13	114
114	44
44	101
101	13
13	114
114	44
44	114
114	55
55	114
114	44
44	114
114	55
55	114
114	44
44	95
95	55
55	114
114	95
95	13
13	55
55	44
44	114
114	44
44	114
