# Directed graph: ../data/song_graphs/rock_graphs/43.txt 
# Save as tab-separated list of edges
# Nodes: 139 Edges: 85
# FromNodeId	ToNodeId
5	81
81	109
109	63
63	109
109	101
101	63
63	61
61	5
5	81
81	109
109	61
61	5
5	81
81	61
61	5
5	81
81	109
109	61
61	5
5	81
81	61
61	5
5	81
81	109
109	61
61	5
5	81
81	61
61	5
5	81
81	109
109	61
61	5
5	81
81	61
61	5
5	81
81	109
109	61
61	5
5	81
81	61
61	5
5	81
81	109
109	61
61	5
5	81
81	61
61	5
5	81
81	109
109	61
61	5
5	81
81	61
61	5
5	81
81	109
109	61
61	5
5	81
81	61
61	5
5	81
81	109
109	61
61	5
5	81
81	61
61	5
5	81
81	109
109	61
61	5
5	81
81	61
61	5
5	81
81	109
109	61
61	5
5	81
81	61
61	5
