# Directed graph: ../data/song_graphs/rock_graphs/69.txt 
# Save as tab-separated list of edges
# Nodes: 139 Edges: 85
# FromNodeId	ToNodeId
44	101
101	44
44	101
101	44
44	101
101	44
44	101
101	44
44	13
13	55
55	101
101	44
44	101
101	44
44	101
101	44
44	13
13	55
55	101
101	13
13	44
44	76
76	13
13	101
101	55
55	114
114	117
117	13
13	44
44	76
76	13
13	101
101	108
108	44
44	13
13	55
55	101
101	44
44	101
101	44
44	101
101	44
44	101
101	44
44	101
101	44
44	13
13	55
55	101
101	44
44	101
101	44
44	101
101	44
44	13
13	55
55	101
101	13
13	44
44	76
76	13
13	101
101	55
55	114
114	117
117	13
13	44
44	76
76	13
13	101
101	108
108	44
44	13
13	55
55	101
101	44
44	101
101	44
44	101
101	44
44	101
101	44
44	101
101	44
44	101
