# Directed graph: ../data/song_graphs/rock_graphs/84.txt 
# Save as tab-separated list of edges
# Nodes: 139 Edges: 100
# FromNodeId	ToNodeId
67	76
76	24
24	0
0	67
67	76
76	24
24	0
0	67
67	76
76	24
24	0
0	67
67	76
76	24
24	0
0	67
67	76
76	24
24	0
0	67
67	76
76	24
24	0
0	67
67	76
76	24
24	0
0	67
67	76
76	24
24	0
0	67
67	76
76	24
24	0
0	67
67	76
76	24
24	0
0	67
67	76
76	24
24	0
0	67
67	76
76	24
24	0
0	67
67	76
76	24
24	0
0	67
67	76
76	24
24	0
0	67
67	76
76	24
24	0
0	67
67	76
76	24
24	0
0	67
67	76
76	24
24	0
0	67
67	76
76	24
24	0
0	67
67	76
76	24
24	0
0	127
127	67
67	76
76	24
24	0
0	67
67	76
76	24
24	0
0	67
67	76
76	24
24	0
0	67
67	76
76	24
24	0
0	67
67	76
76	24
24	0
0	67
67	76
76	24
24	0
