# Directed graph: ../data/song_graphs/jazz_graphs/123.txt 
# Save as tab-separated list of edges
# Nodes: 241 Edges: 56
# FromNodeId	ToNodeId
35	178
178	34
34	181
181	39
39	225
225	86
86	191
191	146
146	78
78	39
39	178
178	34
34	181
181	52
52	181
181	150
150	35
35	181
181	150
150	31
31	236
236	95
95	192
192	112
112	236
236	95
95	192
192	74
74	226
226	52
52	173
173	41
41	69
69	155
155	79
79	143
143	39
39	178
178	34
34	181
181	39
39	225
225	79
79	146
146	142
142	39
39	178
178	34
34	181
181	52
52	181
181	143
143	31
31	181
181	143
143	36
