# Directed graph: ../data/song_graphs/jazz_graphs/138.txt 
# Save as tab-separated list of edges
# Nodes: 241 Edges: 76
# FromNodeId	ToNodeId
87	35
35	137
137	198
198	105
105	35
35	137
137	198
198	105
105	35
35	133
133	198
198	105
105	54
54	3
3	133
133	198
198	231
231	89
89	191
191	133
133	198
198	87
87	35
35	137
137	198
198	105
105	35
35	137
137	198
198	188
188	57
57	165
165	167
167	188
188	57
57	165
165	233
233	221
221	188
188	61
61	165
165	167
167	188
188	54
54	165
165	28
28	130
130	198
198	105
105	35
35	133
133	198
198	105
105	54
54	3
3	133
133	198
198	231
231	89
89	191
191	133
133	198
198	87
87	35
35	137
137	198
198	105
105	35
35	137
137	198
198	133
133	198
198	87
87	35
35	133
133	198
